pp,response_id,color_drink,color_drink_coded_1,color_drink_coded_2,color_drink_coded_3,color_health,color_health_coded_1,color_health_coded_2,color_health_coded_3,color_own,Color_own_coded_1,Color_own_coded_2,Color_own_coded_3
59,R_CdY8NG7V3Uw651v,Darker urine would suggest limited fluid intake,amount,,,Darker urine could suggest poor health,color,color,,I will often drink more water if my urine is very dark,sometimes_more,,
60,R_czNeh3AnS3MD30d,"Lots of water produce a clearer urine. If one drinks lots of sweetened drinks, urine is darker.",amount,diet,,It is related to hydration and sugar levels,hydration,,,You can know if you need to drink more water.,N/A,,
61,R_1E5VrdJBFBGzX0M,"the darker the urine, the more dehydrated they are",hydration,,,"again, darker shows dehydration. can also show blood indicating UTI/ Kidney infection",hydration,organ,,i try to drink more if it looks darker than normal,sometimes_more,,
62,R_3hiiINT6DDnONHV,"the darker the colour, potentially more dehydrated. aim for straw coloured urine.",hydration,,,Potentially something wrong with their kidneys? or a UTI?,organ,,,"Not loads. If I feel thirsty I know I need to drink more. I don't tend to pay too much attention to my urine every trip to the toilet.. but I am aware if there were suddeen changes.. e.g. dark yellow, cloudy etc.",awareness,,
63,R_5nhTd7klkt1tuoN,I think it affects a lot.,N/A,,,Very much,N/A,,,It does reflect a little on me.,N/A,,
64,R_6FGXKWIXMZPoUlX,"the darker urine is, the more hydration you need",hydration,,,if there are any signs of blood or a drastic change in colour it can show signs off kidney issues,organ,,,if i notice my urine getting to dark i tend to go drink more water,drink_more,,
65,R_3fPYK2kbicr5VU5,My assumption is the darker the urine the more dehydrated a person is,hydration,,,"The lighter the better, so if it's too dark, more water is needed to aid body functions",color,,,I do check and would be alarmed if it was too dark.  Darker than normal would make me drink more water,awareness,,
66,R_2dvbxfDDtjj5WVG,Shows if they're dehydrated,hydration,,,I think it gets darker if you're feeling ill,disease,,,I don't really pay much attention to my urine colour - not unless it's dark which isn't often,no_effect,,
67,R_27cVUyLgov6z2SL,"yes, it should be clear if you are well hydrated",hydration,,,"probably similar, if its not clear then there is something not quite right",N/A,,,if it gets really dark I do increase my water intake,drink_more,,
68,R_2DY5QpO3Ea166Vg,The darker it is the more dehydrated they are.,hydration,,,I'm not sure,N/A,,,"If it's dark, I try to drink more",drink_more,,
69,R_pyniBucIFMxZL1v,the darker it it the less they have drunk,amount,,,i think darker urine is bad for their health,color,,,if it is dark i drink more,drink_more,,
70,R_1hHk7m20mbGmAM0,"The lighter/more translucent the urine is, the more hydrated they are and therefore drink more.",hydration,amount,,Consistently dark urine suggests either dehydration or issues with the kidneys,hydration,organ,,"If it's dark yellow, I have a couple glasses of water",drink_more,,
71,R_3GliuXENaC0IYrv,"Yes, the less they drink the stronger the colour",amount,,,Possibly dehydrated if strong colour,hydration,,,If it gets strong colour I drink more water,drink_more,,
72,R_DkNY62CC9cQOfbH,It gives an indication if they are dehydrated or not,hydration,,,It reflects the function of the kidneys?,organ,,,It should remind you to drink more,N/A,,
73,R_24hM1WJw6VkZ6UW,The lighter it is the more hydrated you are,hydration,,,Very dark urine may indicate infection or other problems,disease,,,If it's very dark I would drink more water,drink_more,,
74,R_08wAuaOclxzB4Gt,it shows whether they are hydrated enough,hydration,,,"being dehydrated could cause a knock on affect causing urine infections, kidney problems and much more",hydration,organ,,i always make sure to drink enough to not cause any complications such a dehydration,N/A,,
75,R_1oHXcLf1ycPsTId,I would think the colour can be affected by what you eat and drink during the day. Not only how much a person drinks but what they drink,diet,amount,,I do not have knowledge of this other than where there is an obvious problem such as blood in a persons urine,N/A,,,Not at all,no_effect,,
76,R_1dAALllIb16PeHB,"The darker the colour of someone's urine usually indicates a lack of fluid intake, but this can also be due to other factors such as illness. Paler/clear urine shows a healthy amount of fluid intake.",amount,hydration,,"I think health and urine colour may be linked slightly, but urine colour can also fluctuate depending on fluid intake.",color ,,,"Observing my urine affects my drinking behaviour as if I notice it is darker than usual, it prompts me to drink more fluids.",awareness,,
77,R_5zOKrhNNsyZSPOV,dark means dehydrated,hydration,,,not sure,N/A,,,i drink more water if its dark,drink_more,,
78,R_1kRpLRRBTUeXgMw,"the darker the colour, the more dehydration they are.",hydration,,,urine with dark clour and blood shows ill health,disease,,,unrine clour may be darker first thing in the morning but should get lighter when hydrated.,N/A,,
79,R_1LuN8QbLCEISdP5,The paler the wee the more you've drank,amount,,,Usually paler is better than darker,color,,,It doesn't,no_effect,,
80,R_3LdxZJdy9c820ie,"The lighter the colour, the more you drank.",amount,,,Dark urine might be a sign of health issues.,disease,,,"When my urine is darker, I know I need to drink more water.",awareness,,
81,R_7VOqc0KGryBEQ8N,"It does, because if you don't have water your urine will be more colored.",amount,,,I have no idea about that.,N/A,,,It doesn't.,no_effect,,
82,R_2Qnbtq1h59rMAoo,lighter urine = better hydrated,hydration,,,positive correlation between clearer urine and certain health elements,color,,,if it is too dark I will make a conscious effort to rehydrate,awareness,,
83,R_pQMz5cvTMbaDx61,"The darker the urine, the more they are dehydrated and need to drink water.",hydration,,,Dark urine is poor health,color,,,If it is dark then I know to drink more that day and consume more liquids overall,drink_more,,
84,R_2DS8TQh3YmRaZsL,yes it definitely does,N/A,,,shows how hydrated their body is,hydration,,,it makes me want to drink more if its yellow. if its clear i know im on track with drinking enough,drink_more,,
85,R_2rC1Gd2Mp7X5jMx,Lighter colour = more hydrated,hydration,,,not sure,N/A,,,NA,N/A,,
86,R_80xIX0NPyD1pP1f,"If they drink enough to stay hydrated, if they drink healthy liquids",amount,diet,,Dark is bad light is healthy,color,,,It doesn't,no_effect,,
87,R_3LXcLKEWjQT31VV,"The darker the urine, the more dehydrated they are and the more they need to drink.",hydration,amount,,Darker urine is a sign of poorer health.,color,,,"If my urine is dark, I will ensure that I drink more water.",drink_more,,
88,R_oXL412osfoWyfZL,"The darker the urine, the more dehydrated you are.",hydration,,,The lighter the healthier.,color,,,"If I see it dark, then I know I need to up my water intake.",awareness,,
89,R_oXkcOpQ9Xr32vsZ,the darker the more dehydrated they are,hydration,,,could have blood in it/ be strange colour pointing to health issues,disease,,,i drink more water if i notice it is dark,drink_more,,
90,R_9nW5UwRroqwacmd,I think it is darker the more dehydrated you are,hydration,,,Lighter is better,color,,,It doesn't,no_effect,,
91,R_1LtXVBkc5ZpAiP1,The darker the urine the more dehydrated someone could be. Darker they are probably not drinking enough barring any medical issues.,hydration,,,"Too light or too dark regularly, it could indicate there is a problem that would need investigating.",color,,,"I try to drink 2/3 litres of water everyday, to avoid dehydration.",N/A,,
92,R_bm6BoIWC0fHyzlv,Lighter urine usually means more hydrated.,hydration,,,unusual colour may mean something is wrong.,N/A,,,"I might notice if it's particularly dark, and drink some water.",drink_more,,
93,R_3KvckwyDdRHZFR7,"The lighter the urine, the more water they drink. Dark urine indicates they do not drink enough water which can be bad for health",amount,,,See above,N/A,,,I always drink a lot of water so my urine isn't often dark.,N/A,,
94,R_3QL7WFnkkT74g8b,"The darker the colour, the more dehydrated you are.",hydration,,,"If not dehydration, dark urine can indicate diseases.",hydration,,,"If its darker, I know I need to drink. I often forget to drink and this reminds me.",drink_more,,
95,R_25AfAuOKzBuR35p,More Fluid lighter urine,amount,,,Unless very dark very little,no_effect,,,Somewhat if Hot and urine dark will drink more,drink_more,,
96,R_3FIfGvCiBkBNQ1K,"Yes. If it is darker, ie concentrated, this means they haven't drank much.",amount,concentration,,"It can be, as fluid consumption is important. It can also reflect the state of the kidneys.",hydration,organ,,"Somewhat, but only if I notice a dramatic change.",sometimes_more,,
97,R_2dQnGVcO9cubQO3,"Darker urine suggests dehydration, lighter is more hydrated",hydration,,,certain conditions are linked to urine colour,disease,,,"If it is very dark i will try to drink more water or take in electrolytes, especially after a run",drink_more,,
97,R_sCpXt2Tz0GdBLIR,the lighter it is the more theyve drunk,amount,,,"if youve suddenly got dark urine theres possibly something wrong, or if its more frequent and very pale i think there could also be a problem",color,,,i don't observe it,no_effect,,
99,R_pmkDvnz9euHNn7b,Yes i can tell them they need to drink more fluids,amount,,,alot could be a sign of a medical condition,disease,,,"alot, if its dark in colour you should drink more",N/A,,
100,R_2pQ2jL3YL94PPIw,The darker the more dehydrated they are.,hydration,,,The darker the less healthy they are.,color,,,Sometimes it does if it is really dark.,sometimes_more,,
101,R_8dXct4VrrLYADst,if it is dark it means the person is dehydrated,hydration,,,They don't drink enough,N/A,,,I feel I need to drink some more water,N/A,,
102,R_ReoZx76T4R0XeKt,The darker it is the less hydrated your body is.,hydration,,,Yes darker means body has not had enough water and water is needed to be healthy,color,,,When it is hot i am more conscious of my urine colour as don't want to be dehydrated,awareness,,
103,R_2ZJtLAnVBh0sIJr,The darker it is the less hydrated they are,hydration,,,Usually the darker the less healthy,color,,,If it's dark I'll drink more water,drink_more,,
104,R_20Ps7lm1vr6sk7U,"The lighter the urine, the more fluid it contains. This may be a good indicator of if someone needs to drink more water.",amount,,,"Yes, the colour can indicate if someone is dehydrated",hydration,,,"If I notice it is particularly dark, I will try to drink more water.",drink_more,,
105,R_PFAhQgTyTpjY3XX,yes the darker the less hydrated they are,hydration,,,yes hydration is important for health,hydration,,,no,no_effect,,
106,R_2xW2RWQuboKosPy,the darker the less hydrated,hydration,,,"to large extent, urine can be tested to evaluate human health",N/A,,,increase the water consumption,N/A,,
107,R_1jdgJoUNH8cSyr7,The darker the urine then generally this means the more dehydrated someone is.,hydration,,,"Urine colour may be affected by medications, the type of food they are eating or issues regarding kidney or liver function",organ,,,"I am concerned to ensure that my urine is a light straw colour. I have realised that I have probably been dehydrated for years. Since addressing this issue I feel more energetic, my skin has improved and my bloat has disappeared. Because of this I drink far more water.",awareness,,
108,R_tQyCsr47CXZyZpv,I think the colour indicates if they need to drink more fluid or not,amount,,,I don't think it does,N/A,,,If my urine is dark i drink more fluids,drink_more,,
109,R_2s4O8zmsegM9BiM,Darker urine suggests dehydration so when someone regularly has darker urine during the day time they are not drinking enough.,hydration,amount,,Suggests how well hydrated they are and possibly kidney function.,hydration,organ,,Sometimes if I notice it's much darker I would make the effort to drink more water,sometimes_more,,
110,R_xt1bkiuUrQyl42Z,Lighter means they drink more,amount,,,Lighter healthier,color,,,If it's dark I drink more water,drink_more,,
111,R_3qdGJAOloiFUkoN,"The paler the urine, the more hydrated they are i.e. they drink more",amount,hydration,,I'm not sure about this. Lighter colour = better health due to better hydration?,color,hydration,,"If I notice it's darker, then I make a conscious effort to drink more water",awareness,,
112,R_byo7Hid0QGzeUFP,I think the darker the urine the less the person has had to drink.,amount,,,yes,N/A,,,"yes I will try to drink more water if my urine is darker,",drink_more,,
113,R_1gnzRRLF1jMJgJ0,"The darker the urine, the more dehydrated you are",hydration,,,"darker urine can indicate infection or illness, or simply dehydration",hydration,,,"If my urine becomes dark, I will try to increase clear fluids and reduce Tea intake",sometimes_more,,
114,R_3Jx8Gm6cnmGj5RI,"yes, the more you drink the paler it should be, unless you are drinking coloured beverages in which case i would expect it to take on some dye? I don't know, I only drink water, coffee and a peppermint tea!",amount,diet,,"dark uring is surely a very bad sign. so i would say that urine is a HUGE factor in determining your health. From detecting infections and problems, to diagnosing things like diabetes.",color,disease,,yes. I'll drink more water if it looks yellow!,drink_more,,
115,R_sZIC81EDX80uNH3,it is darker if you don't drink enough  water,amount,,,dark urine shows a health problem,color,,,if it darker i drink more water,drink_more,,
116,R_3Pc4pBHgSB0wAlt,It may be due to a lack of fluids.,amount,,,"It can be a link to dietary problems, disgestion issues and more serious diseases.",disease,diet,,Generally it doesn't.,no_effect,,
117,R_1QLwsQ6D3u38Znw,The lighter the colour the more you've drank,amount,,,The darker the more dehydrated,hydration,,,Encourages me to drink more,drink_more,,
118,R_2c1V8XjNHvRogsu,Somewhat but imagine everyone is different. Maybe when its extreme is easier to tell.,N/A,,,"Not too much, if it was red-tinged perhaps or an  odd colour.",N/A,,,If its very yellow and i know my fluid intake is low then it motivates me to drink more.,drink_more,,
119,R_WflsUhaj7mP7NWV,The darker the urine the less someone drinks/ the less hydrated they are,amount,hydration,,Darker urine shows poorer health,color,,,I will drink more if i see my urine is too dark,drink_more,,
120,R_2wcR4YYz9KdRm9K,"broadly yes, but it may also reflect how much water their body has used and therefore how much it has to reclaim through the kidneys",amount,,,if it's dark all the time they are likely to be dehydrated,hydration,,,if it seems darker than normal I may be prompted to take a drink,sometimes_more,,
121,R_Agoaf2TsbfvNfB7,Darker colour indicates possible dehydration.,hydration,,,It can be an indicator of an underlying problem.,color,,,"If too dark, I will increase amount of water I consume.",drink_more,,
122,R_1oCpd5m784SzPNR,The darker it is the more water they need to drink,amount,,,"Possibly indicates organ disease, alcoholism etc",disease,,,I try to keep it as light coloured as possible,awareness,,
123,R_ZyjPYvDLYe9jSAV,If you don't drink enough water your urine will be very yellow,amount,,,Its related to their health because it detects if there is any problems and if they are dehydrated,hydration,hydration,,It does encourage me to drink more fluids,drink_more,,
124,R_WoHeptIQA4HlOtH,"the clearer, the more hydrated",hydration,,,if it is constantly discoloured that can be a bad sign,N/A,,,I am likely to rehydrate if I think I need to,sometimes_more,,
125,R_2CZooDzF66ZzuFY,The darker the urine the more dehydrated a person is.,hydration,,,Dark urine can mean bad health,color,,,It doesnt affect me as it is usually very light,no_effect,,
126,R_3Cqdn6xLfC0aNTX,"How hydrated they are. The darker the colour, the less they have drank.",amount,hydration,,"The darker the colour, the more dehydrated they are.",hydration,,,"If it looks dark, I will drink more water.",drink_more,,
127,R_2xRaR7rDDYI7vWS,Haven't drunk enough fluids,amount,,,Could be dehydrated,hydration,,,Doesn't,no_effect,,
128,R_XHVPFSyzndhgL2p,"The more dilute the urine the paler the urine, so if urine looks clearly yellow it's a sign the person is not drinking enough",concentration,amount,,"dark yellow urine would suggest not enough fluid intake and possible dehydration. blood can also be seen in urine as can protein, which can suggest disease.",hydration,,,I do notice if it looks too concentrated and make an effort to drink more in that event,sometimes_more,,
129,R_2VEetDzvVxxhndG,the lighter in colour it is the better hydrated they are dark colours can show dehydration or maybe a sign of illness,hydration,health,,it helps remove toxins from the body,disease,,,if its looking very dark i will try and drink more fluids,drink_more,,
130,R_3dYYyiqTC6Iyrnf,"The lighter it is, the more water intake there's been",amount,,,"The darker it is, the less diluted it is and this could cause ""waterworks"" problems",concentration,,,The smell rather than the colour would alert  me more so,N/A,,
131,R_2R9w0NLGq07NpN1,the lighter it is the more fluid you are drinking,amount,,,because dark uring indicates you are not taking enough fluids in which can be very bad for your health. Also other illnesses can cause cloudy/dark urine,color,disease,,i dont really monitor this as I drink enough,no_effect,,
132,R_1jTTLBsWbZ7sCMS,"the stronger the colour the less they drink, if its clear then they drink lots",amount,,,if its clear then they are healthy,color,,,"it doesnt really affect it at all, i know I dont drink enough but I still dont drink more",N/A,,
133,R_1DUx76URmY1HdSH,the lighter the colour the more hydrated they are,hydration,,,very much so as it is about hydration and dehyrdration,hydration,,,it wouldnt affect me at all as i am not a great drinker,no_effect,,
134,R_ymTcu8S745C3kRP,If it is clear you are hydrated if it is yellow you are dehydrated so it shows if you need to drink more.,hydration,amount ,,If it is clear you are hydrated if it is yellow you are dehydrated so it shows if you have had a healthy intake of fluids,color,,,If it's really yellow I tend to up what i'm drinking if it is fairly clear it doesn't really bother me.,sometimes_more,,
135,R_pJIEWeK2LFDAgGB,The darker it is the more dehydrated they are,hydration,,,Dark urine means you are dehydrated which is bad for health,color,,,Makes me drink more if darker,drink_more,,
136,R_2Sxmq0wFQKeUSWx,to a certain extent but there are other factors,N/A,,,not over all health but it can show health issues in certain places,disease,,,it doesnt affect my drinking habits,no_effect,,
